bin,# in bin
0.0,7.0
0.001,7.0
0.002,10.0
0.003,2.0
0.004,5.0
0.005,1.0
0.006,7.0
0.007,7.0
0.008,3.0
0.009000000000000001,5.0
0.01,4.0
0.011,5.0
0.012,5.0
0.013000000000000001,1.0
0.014,4.0
0.015,4.0
0.016,4.0
0.017,2.0
0.018000000000000002,4.0
0.019,8.0
0.02,1.0
0.021,5.0
0.022,8.0
0.023,1.0
0.024,2.0
0.025,4.0
0.026000000000000002,1.0
0.027,1.0
0.028,6.0
0.029,4.0
0.03,6.0
0.031,3.0
0.032,1.0
0.033,3.0
0.034,2.0
0.035,4.0
0.036000000000000004,1.0
0.037,2.0
0.038,5.0
0.039,2.0
0.04,3.0
0.041,1.0
0.042,2.0
0.043000000000000003,4.0
0.044,4.0
0.045,5.0
0.046,2.0
0.047,4.0
0.048,2.0
0.049,1.0
0.05,5.0
0.051000000000000004,2.0
0.052000000000000005,0.0
0.053,1.0
0.054,1.0
0.055,3.0
0.056,2.0
0.057,1.0
0.058,3.0
0.059000000000000004,1.0
0.06,2.0
0.061,3.0
0.062,0.0
0.063,3.0
0.064,2.0
0.065,2.0
0.066,2.0
0.067,3.0
0.068,2.0
0.069,0.0
0.07,1.0
0.07100000000000001,3.0
0.07200000000000001,4.0
0.073,2.0
0.074,2.0
0.075,3.0
0.076,1.0
0.077,2.0
0.078,2.0
0.079,2.0
0.08,1.0
0.081,3.0
0.082,1.0
0.083,1.0
0.084,4.0
0.085,1.0
0.08600000000000001,0.0
0.08700000000000001,2.0
0.088,2.0
0.089,2.0
0.09,4.0
0.091,5.0
0.092,3.0
0.093,5.0
0.094,4.0
0.095,5.0
0.096,7.0
0.097,14.0
0.098,10.0
0.099,7.0
0.1,7.0
0.101,8.0
0.10200000000000001,10.0
0.10300000000000001,11.0
0.10400000000000001,9.0
0.105,10.0
0.106,11.0
0.107,12.0
0.108,16.0
0.109,14.0
0.11,12.0
0.111,11.0
0.112,18.0
0.113,13.0
0.114,15.0
0.115,14.0
0.116,13.0
0.117,8.0
0.11800000000000001,7.0
0.11900000000000001,7.0
0.12,8.0
0.121,16.0
0.122,15.0
0.123,5.0
0.124,9.0
0.125,6.0
0.126,11.0
0.127,11.0
0.128,19.0
0.129,21.0
0.13,11.0
0.131,13.0
0.132,20.0
0.133,9.0
0.134,17.0
0.135,8.0
0.136,14.0
0.137,19.0
0.138,14.0
0.139,12.0
0.14,13.0
0.14100000000000001,17.0
0.14200000000000002,16.0
0.14300000000000002,17.0
0.14400000000000002,13.0
0.145,10.0
0.146,19.0
0.147,8.0
0.148,7.0
0.149,15.0
0.15,11.0
0.151,12.0
0.152,14.0
0.153,14.0
0.154,10.0
0.155,14.0
0.156,10.0
0.157,11.0
0.158,15.0
0.159,8.0
0.16,9.0
0.161,10.0
0.162,11.0
0.163,14.0
0.164,13.0
0.165,11.0
0.166,13.0
0.167,10.0
0.168,14.0
0.169,10.0
0.17,15.0
0.171,5.0
0.17200000000000001,8.0
0.17300000000000001,18.0
0.17400000000000002,6.0
0.17500000000000002,14.0
0.176,5.0
0.177,6.0
0.178,13.0
0.179,13.0
0.18,9.0
0.181,14.0
0.182,5.0
0.183,10.0
0.184,12.0
0.185,9.0
0.186,11.0
0.187,12.0
0.188,13.0
0.189,9.0
0.19,8.0
0.191,9.0
0.192,6.0
0.193,9.0
0.194,10.0
0.195,15.0
0.196,12.0
0.197,8.0
0.198,6.0
0.199,9.0
0.2,11.0
0.201,11.0
0.202,9.0
0.203,6.0
0.20400000000000001,9.0
0.20500000000000002,9.0
0.20600000000000002,7.0
0.20700000000000002,11.0
0.20800000000000002,7.0
0.209,8.0
0.21,11.0
0.211,6.0
0.212,9.0
0.213,13.0
0.214,11.0
0.215,12.0
0.216,6.0
0.217,11.0
0.218,15.0
0.219,6.0
0.22,13.0
0.221,11.0
0.222,8.0
0.223,9.0
0.224,8.0
0.225,7.0
0.226,3.0
0.227,13.0
0.228,9.0
0.229,11.0
0.23,4.0
0.231,10.0
0.232,4.0
0.233,14.0
0.234,9.0
0.23500000000000001,3.0
0.23600000000000002,7.0
0.23700000000000002,6.0
0.23800000000000002,8.0
0.23900000000000002,5.0
0.24,12.0
0.241,4.0
0.242,5.0
0.243,9.0
0.244,10.0
0.245,5.0
0.246,6.0
0.247,13.0
0.248,7.0
0.249,4.0
0.25,10.0
0.251,5.0
0.252,6.0
0.253,5.0
0.254,7.0
0.255,2.0
0.256,8.0
0.257,9.0
0.258,10.0
0.259,6.0
0.26,5.0
0.261,9.0
0.262,6.0
0.263,10.0
0.264,5.0
0.265,6.0
0.266,8.0
0.267,5.0
0.268,5.0
0.269,8.0
0.27,5.0
0.271,10.0
0.272,6.0
0.273,5.0
0.274,6.0
0.275,6.0
0.276,8.0
0.277,6.0
0.278,6.0
0.279,5.0
0.28,2.0
0.281,5.0
0.28200000000000003,7.0
0.28300000000000003,5.0
0.28400000000000003,7.0
