batch,sim,x,y
sim37_N0p1,Allo6_S030W010.hist_Ks_hist_fit2.0,30,0.299
sim37_N0p1,Allo4_S050W040.hist_Ks_hist_fit2.0,50,0.499
sim37_N0p1,Allo2_S070W020.hist_Ks_hist_fit2.0,70,0.693
sim37_N0p1,Allo2_S070W060.hist_Ks_hist_fit2.0,70,0.691
sim37_N0p1,Allo1_S080W060.hist_Ks_hist_fit2.0,80,0.79
sim37_N0p1,Allo3_S060W040.hist_Ks_hist_fit2.0,60,0.596
sim37_N0p1,Allo7_S020W015.hist_Ks_hist_fit2.0,20,0.2
sim37_N0p1,Allo1_S080W075.hist_Ks_hist_fit2.0,80,0.802
sim37_N0p1,Allo1_S080W030.hist_Ks_hist_fit2.0,80,0.795
sim37_N0p1,Allo2_S070W050.hist_Ks_hist_fit2.0,70,0.695
sim37_N0p1,Allo4_S050W045.hist_Ks_hist_fit2.0,50,0.501
sim37_N0p1,Allo7_S020W010.hist_Ks_hist_fit2.0,20,0.201
sim37_N0p1,Allo6_S030W025.hist_Ks_hist_fit2.0,30,0.3
sim37_N0p1,Allo5_S040W030.hist_Ks_hist_fit2.0,40,0.399
sim37_N0p1,Allo4_S050W030.hist_Ks_hist_fit2.0,50,0.496
sim37_N0p1,Allo3_S060W050.hist_Ks_hist_fit2.0,60,0.597
sim37_N0p1,Allo5_S040W020.hist_Ks_hist_fit2.0,40,0.399
sim37_N0p1,Allo1_S080W070.hist_Ks_hist_fit2.0,80,0.788
sim37_N0p1,Allo3_S060W010.hist_Ks_hist_fit2.0,60,0.598
sim37_N0p1,Allo5_S040W035.hist_Ks_hist_fit2.0,40,0.402
sim37_N0p1,Allo3_S060W055.hist_Ks_hist_fit2.0,60,0.595
sim37_N0p1,Allo8_S010W005.hist_Ks_hist_fit2.0,10,0.1
sim37_N0p1,Allo6_S030W020.hist_Ks_hist_fit2.0,30,0.299
sim37_N0p1,Allo2_S070W065.hist_Ks_hist_fit2.0,70,0.695
sim37_N0p1,Auto1_S080W080.hist_Ks_hist_fit2.0,80,0.8
sim37_N0p1,Auto2_S070W070.hist_Ks_hist_fit2.0,70,0.688
sim37_N0p1,Auto3_S060W060.hist_Ks_hist_fit2.0,60,0.6
sim37_N0p1,Auto8_S010W010.hist_Ks_hist_fit2.0,10,0.099
sim37_N0p1,Auto6_S030W030.hist_Ks_hist_fit2.0,30,0.298
sim37_N0p1,Auto4_S050W050.hist_Ks_hist_fit2.0,50,0.499
sim37_N0p1,Auto5_S040W040.hist_Ks_hist_fit2.0,40,0.401
sim37_N0p1,Auto7_S020W020.hist_Ks_hist_fit2.0,20,0.2
sim37_N1,Allo6_S030W010.hist_Ks_hist_fit2.0,30,0.307
sim37_N1,Allo4_S050W040.hist_Ks_hist_fit2.0,50,0.508
sim37_N1,Allo2_S070W020.hist_Ks_hist_fit2.0,70,0.701
sim37_N1,Allo2_S070W060.hist_Ks_hist_fit2.0,70,0.704
sim37_N1,Allo1_S080W060.hist_Ks_hist_fit2.0,80,0.793
sim37_N1,Allo3_S060W040.hist_Ks_hist_fit2.0,60,0.611
sim37_N1,Allo7_S020W015.hist_Ks_hist_fit2.0,20,0.207
sim37_N1,Allo1_S080W075.hist_Ks_hist_fit2.0,80,0.804
sim37_N1,Allo1_S080W030.hist_Ks_hist_fit2.0,80,0.798
sim37_N1,Allo2_S070W050.hist_Ks_hist_fit2.0,70,0.704
sim37_N1,Allo4_S050W045.hist_Ks_hist_fit2.0,50,0.51
sim37_N1,Allo7_S020W010.hist_Ks_hist_fit2.0,20,0.207
sim37_N1,Allo6_S030W025.hist_Ks_hist_fit2.0,30,0.307
sim37_N1,Allo5_S040W030.hist_Ks_hist_fit2.0,40,0.407
sim37_N1,Allo4_S050W030.hist_Ks_hist_fit2.0,50,0.508
sim37_N1,Allo3_S060W050.hist_Ks_hist_fit2.0,60,0.607
sim37_N1,Allo5_S040W020.hist_Ks_hist_fit2.0,40,0.407
sim37_N1,Allo1_S080W070.hist_Ks_hist_fit2.0,80,0.797
sim37_N1,Allo3_S060W010.hist_Ks_hist_fit2.0,60,0.606
sim37_N1,Allo5_S040W035.hist_Ks_hist_fit2.0,40,0.406
sim37_N1,Allo3_S060W055.hist_Ks_hist_fit2.0,60,0.602
sim37_N1,Allo8_S010W005.hist_Ks_hist_fit2.0,10,0.105
sim37_N1,Allo6_S030W020.hist_Ks_hist_fit2.0,30,0.305
sim37_N1,Allo2_S070W065.hist_Ks_hist_fit2.0,70,0.706
sim37_N1,Auto1_S080W080.hist_Ks_hist_fit2.0,80,0.786
sim37_N1,Auto2_S070W070.hist_Ks_hist_fit2.0,70,0.695
sim37_N1,Auto3_S060W060.hist_Ks_hist_fit2.0,60,0.599
sim37_N1,Auto8_S010W010.hist_Ks_hist_fit2.0,10,0.099
sim37_N1,Auto6_S030W030.hist_Ks_hist_fit2.0,30,0.298
sim37_N1,Auto4_S050W050.hist_Ks_hist_fit2.0,50,0.5
sim37_N1,Auto5_S040W040.hist_Ks_hist_fit2.0,40,0.4
sim37_N1,Auto7_S020W020.hist_Ks_hist_fit2.0,20,0.2
sim37_N5,Allo6_S030W010.hist_Ks_hist_fit2.0,30,0.319
sim37_N5,Allo4_S050W040.hist_Ks_hist_fit2.0,50,0.525
sim37_N5,Allo2_S070W020.hist_Ks_hist_fit2.0,70,0.729
sim37_N5,Allo2_S070W060.hist_Ks_hist_fit2.0,70,0.729
sim37_N5,Allo1_S080W060.hist_Ks_hist_fit2.0,80,0.83
sim37_N5,Allo3_S060W040.hist_Ks_hist_fit2.0,60,0.628
sim37_N5,Allo7_S020W015.hist_Ks_hist_fit2.0,20,0.219
sim37_N5,Allo1_S080W075.hist_Ks_hist_fit2.0,80,0.825
sim37_N5,Allo1_S080W030.hist_Ks_hist_fit2.0,80,0.825
sim37_N5,Allo2_S070W050.hist_Ks_hist_fit2.0,70,0.727
sim37_N5,Allo4_S050W045.hist_Ks_hist_fit2.0,50,0.527
sim37_N5,Allo7_S020W010.hist_Ks_hist_fit2.0,20,0.216
